Datum,Název,Místo konání,Popis
28.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
28.09.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
28.09.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
28.09.2025,Bleší trhy Přerov,Přerov,všeobecné (bleší trh)
28.09.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
03.10.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
04.10.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
04.10.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
04.10.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
04.10.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
04.10.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
04.10.2025,Dobrá Karma,Brno,všeobecné (bleší trh)
04.10.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
05.10.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
05.10.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
05.10.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
05.10.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
05.10.2025,Bleší trh Golčův Jeníkov,Golčův Jeníkov,všeobecné (bleší trh)
31.10.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
01.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
01.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
01.11.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
01.11.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
01.11.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
01.11.2025,Dobrá Karma,Brno,všeobecné (bleší trh)
02.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
02.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
02.11.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
02.11.2025,Bleší trh Golčův Jeníkov,Golčův Jeníkov,všeobecné (bleší trh)
08.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
08.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
08.11.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
08.11.2025,Bleší trhy Ostrava,Ostrava,všeobecné (bleší trh), starožitnosti
08.11.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
08.11.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
09.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
09.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
09.11.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
09.11.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
15.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
15.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
15.11.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
15.11.2025,Bleší trhy Olomouc,Olomouc,všeobecné (bleší trh), starožitnosti
15.11.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
16.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
16.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
16.11.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
22.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
22.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
22.11.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
22.11.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
23.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
23.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
23.11.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
23.11.2025,Bleší trhy Přerov,Přerov,všeobecné (bleší trh)
29.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
29.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
29.11.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
29.11.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
30.11.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
30.11.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
30.11.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
